date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:32	54913/54913	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202020%2012:35:32%20GMT	https://salonspaw.com/team/carin/	C:/My%20Web%20Sites/neer2/salonspaw.com/team/carin/index.html	(from https://salonspaw.com/team/)
18:05:33	141441/141441	---M--	200	added ('OK')	image/jpeg	etag:%229b3b6cd1b0d0a3d0%22	https://i0.wp.com/salonspaw.com/wp-content/uploads/2019/06/carin-salon-spa-w.jpg?fit=731%2C1024&ssl=1	C:/My%20Web%20Sites/neer2/i0.wp.com/salonspaw.com/wp-content/uploads/2019/06/carin-salon-spa-w3866.jpg	(from https://salonspaw.com/team/)
18:05:33	93063/93063	---M--	200	added ('OK')	image/jpeg	etag:%22467245304c0e6f60%22	https://i1.wp.com/salonspaw.com/wp-content/uploads/2019/06/Copy-of-Copy-of-Bri-scaled.jpg?fit=683%2C1024&ssl=1	C:/My%20Web%20Sites/neer2/i1.wp.com/salonspaw.com/wp-content/uploads/2019/06/Copy-of-Copy-of-Bri-scalede9e2.jpg	(from https://salonspaw.com/team/)
18:05:34	55318/55318	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202020%2012:35:33%20GMT	https://salonspaw.com/team/bri/	C:/My%20Web%20Sites/neer2/salonspaw.com/team/bri/index.html	(from https://salonspaw.com/team/)
18:05:34	54594/54594	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202020%2012:35:34%20GMT	https://salonspaw.com/team/ruby/	C:/My%20Web%20Sites/neer2/salonspaw.com/team/ruby/index.html	(from https://salonspaw.com/team/)
18:05:34	123144/123144	---M--	200	added ('OK')	image/jpeg	etag:%226b13e2d2b6cdac21%22	https://i0.wp.com/salonspaw.com/wp-content/uploads/2019/06/Copy-of-Ruby-3.19.jpg?fit=683%2C1024&ssl=1	C:/My%20Web%20Sites/neer2/i0.wp.com/salonspaw.com/wp-content/uploads/2019/06/Copy-of-Ruby-3.19e9e2.jpg	(from https://salonspaw.com/team/)
18:05:35	54166/54166	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202020%2012:35:35%20GMT	https://salonspaw.com/team/amber/	C:/My%20Web%20Sites/neer2/salonspaw.com/team/amber/index.html	(from https://salonspaw.com/team/)
18:05:35	238142/238142	---M--	200	added ('OK')	image/jpeg	etag:%22927cae2b147a3fc8%22	https://i1.wp.com/salonspaw.com/wp-content/uploads/2019/06/amber-salon-spa-w.jpg?fit=731%2C1024&ssl=1	C:/My%20Web%20Sites/neer2/i1.wp.com/salonspaw.com/wp-content/uploads/2019/06/amber-salon-spa-w3866.jpg	(from https://salonspaw.com/team/)
18:05:36	132790/132790	---M--	200	added ('OK')	image/jpeg	etag:%222c6ab0a548fe1395%22	https://i0.wp.com/salonspaw.com/wp-content/uploads/2019/06/emily-salon-spa-w.jpg?fit=730%2C1024&ssl=1	C:/My%20Web%20Sites/neer2/i0.wp.com/salonspaw.com/wp-content/uploads/2019/06/emily-salon-spa-wd0d5.jpg	(from https://salonspaw.com/team/)
18:05:36	54240/54240	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202020%2012:35:36%20GMT	https://salonspaw.com/team/emily/	C:/My%20Web%20Sites/neer2/salonspaw.com/team/emily/index.html	(from https://salonspaw.com/team/)
18:05:37	116421/116421	---M--	200	added ('OK')	image/jpeg	etag:%22fafa7aa2677c88d3%22	https://i0.wp.com/salonspaw.com/wp-content/uploads/2019/06/avalon-salon-spa-w.jpg?fit=731%2C1024&ssl=1	C:/My%20Web%20Sites/neer2/i0.wp.com/salonspaw.com/wp-content/uploads/2019/06/avalon-salon-spa-w3866.jpg	(from https://salonspaw.com/team/)
18:05:37	54949/54949	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202020%2012:35:37%20GMT	https://salonspaw.com/team/avalon/	C:/My%20Web%20Sites/neer2/salonspaw.com/team/avalon/index.html	(from https://salonspaw.com/team/)
18:05:38	61862/61862	---M--	200	added ('OK')	image/jpeg	etag:%22ce57971d935f99df%22	https://i1.wp.com/salonspaw.com/wp-content/uploads/2019/12/Copy-of-Makaylah-scaled.jpg?fit=683%2C1024&ssl=1	C:/My%20Web%20Sites/neer2/i1.wp.com/salonspaw.com/wp-content/uploads/2019/12/Copy-of-Makaylah-scalede9e2.jpg	(from https://salonspaw.com/team/)
18:05:38	54715/54715	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202020%2012:35:38%20GMT	https://salonspaw.com/team/makaylah/	C:/My%20Web%20Sites/neer2/salonspaw.com/team/makaylah/index.html	(from https://salonspaw.com/team/)
